,Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,mixed
128,FEMALE,3.684,0.789,2.579,2.368,1.684,4.789,visual
129,EXPLODE,3.632,0.053,0.842,0.895,1.421,4.789,visual
130,CARTOON STRIP,0.643,0.071,1.571,0.429,0.357,4.786,visual
131,WEBLOG,0.5,0.0,0.286,0.214,0.0,4.786,visual
132,MARLIN,1.0,2.714,2.143,0.286,2.071,4.786,visual
133,TEXT MESSAGE,1.13,0.0,0.87,0.348,0.0,4.783,visual
134,MOON,0.111,0.056,0.222,0.222,0.056,4.778,visual
135,LIGHT SOURCE,0.167,0.222,0.444,0.389,0.278,4.778,visual
136,YARD,0.667,0.167,2.056,0.444,1.667,4.778,visual
137,SECRETARY,3.5,0.0,0.722,0.111,0.278,4.778,visual
138,SKYSCRAPER,0.167,0.0,2.056,0.0,0.0,4.778,visual
139,PICTOGRAPHY,0.444,0.056,0.833,0.333,0.056,4.778,visual
140,OVERCAST,0.111,0.0,0.0,0.167,0.0,4.778,visual
141,INCANDESCENCE,0.077,0.0,0.154,0.308,0.077,4.769,visual
142,FUCHSIA,0.385,0.077,0.538,0.538,0.231,4.769,visual
143,MASTERPIECE,2.647,0.824,1.706,1.235,0.471,4.765,visual
144,DAYLIGHT,0.294,0.294,0.471,1.412,0.059,4.765,visual
145,RECEPTION ROOM,1.471,0.294,1.471,0.235,0.529,4.765,visual
146,HARE,0.941,0.294,2.471,0.0,0.824,4.765,visual
147,DARKNESS,0.294,0.118,0.412,1.059,0.118,4.765,visual
148,ART GALLERY,0.588,0.059,0.882,0.882,0.353,4.765,visual
149,TWILIGHT,0.176,0.0,0.0,0.235,0.059,4.765,visual
150,DAYCARE,3.882,0.0,1.118,0.706,1.235,4.765,visual
151,CHART,0.529,0.059,1.353,0.412,0.059,4.765,visual
152,HAIRLESS,0.294,0.176,3.765,0.706,0.235,4.765,visual
153,SEGREGATION,2.353,0.0,0.235,1.529,0.0,4.765,visual
154,STEP STOOL,0.353,0.0,3.235,0.0,0.0,4.765,visual
155,HELICOPTER,4.647,0.0,1.235,0.588,0.235,4.765,visual
156,WEBCAM,1.882,0.0,2.059,0.471,0.0,4.765,visual
157,SITCOM,4.353,0.0,0.176,0.294,0.059,4.765,visual
158,SIRLOIN STEAK,0.412,4.353,2.765,0.471,4.059,4.765,visual
159,ATTRACTIVE,1.588,0.529,1.235,1.647,1.176,4.765,visual
160,CEREAL BOWL,0.588,0.294,3.765,0.176,0.176,4.765,visual
161,FLOWER GARDEN,0.412,0.294,2.529,0.471,3.647,4.765,visual
162,VIDEO,3.235,0.0,0.706,0.824,0.176,4.765,visual
163,BLUE JEANS,0.294,0.0,3.588,0.706,0.412,4.765,visual
164,CREEK,3.882,0.118,2.824,0.235,1.353,4.765,visual
165,CATTLE,3.412,0.765,2.765,0.059,2.824,4.765,visual
