,Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,mixed
730,KAZOO,4.429,0.214,2.143,0.143,0.0,2.929,vh_med
731,PARSLEY,0.4,3.55,2.05,0.55,3.1,2.95,vh_med
732,HORSEHIDE,0.158,0.053,2.421,0.0,1.263,2.684,vh_med
733,GONAD,1.077,0.538,2.0,0.846,0.538,2.692,vh_med
734,PAMPERED,1.263,0.526,2.526,1.789,0.316,2.737,vh_med
735,EATING,1.45,4.75,2.55,2.8,2.65,2.9,vh_med
736,INTERLACE,0.2,0.067,2.133,0.2,0.133,2.933,vh_med
737,ACQUIRE,0.824,0.647,2.176,1.0,0.588,2.824,vh_med
738,NONGASEOUS,1.455,1.0,2.182,0.727,1.636,2.545,vh_med
739,EXTREMITY,0.619,0.238,2.286,1.714,0.19,2.476,vh_med
740,SCROUNGE,1.333,0.333,2.25,0.667,0.583,2.5,vh_med
741,PINEY,1.0,0.462,2.077,0.923,3.462,2.462,vh_med
742,GRINDING,2.667,0.333,2.278,1.444,0.5,2.889,vh_med
743,OUTWRESTLE,0.444,0.056,2.556,1.444,0.056,2.389,vh_med
744,RESISTANCE,1.824,0.059,2.647,1.941,0.059,2.471,vh_med
745,VERTEBRA,0.188,0.0,2.688,2.812,0.0,2.562,vh_med
746,LOVE,2.056,0.722,3.0,4.389,1.056,2.667,vh_med
747,PUFFED,0.947,0.877,2.175,1.491,0.351,2.842,vh_med
748,STRANGLES,1.143,0.357,2.857,1.786,0.357,2.643,vh_med
749,PINCHER,0.167,0.167,3.0,0.278,0.111,2.222,vh_med
750,SHOCK ABSORBER,1.0,0.0,2.105,1.158,0.105,2.579,vh_med
751,HURT,1.722,0.333,2.056,3.944,0.333,2.611,vh_med
752,RELOCK,1.4,0.0,2.15,0.15,0.0,2.75,vh_med
753,IMMOVABLE,0.067,0.0,2.733,0.8,0.0,2.4,vh_med
754,SHOCKPROOF,0.812,0.125,2.312,1.375,0.125,2.562,vh_med
755,SHAGGED,0.938,0.75,2.812,2.188,0.625,2.688,vh_med
756,CREATE,1.3,0.6,2.2,1.35,0.5,2.8,vh_med
757,WARPED,1.111,0.333,2.056,1.222,0.389,2.889,vh_med
758,KICKABLE,0.35,0.0,2.5,0.75,0.05,2.75,vh_med
759,KINETICALLY,0.857,0.357,2.357,1.786,0.143,2.5,vh_med
760,INSULATE,0.118,0.0,2.647,1.0,0.0,2.765,vh_med
761,FLOURY,0.188,2.562,2.125,0.0,1.312,2.562,vh_med
762,TWEEZE,0.412,0.0,3.0,0.706,0.0,3.0,vh_med
763,CLAWED,1.056,0.056,2.833,1.056,0.167,2.667,vh_med
764,REMOVE,0.75,0.375,2.0,1.125,0.188,2.625,vh_med
765,ENVELOP,0.389,0.389,2.5,1.389,0.278,2.722,vh_med
766,INTRAVENOUS,0.75,0.062,2.812,3.25,0.125,2.125,vh_med
767,BUNION,0.0,0.0,2.882,1.235,0.0,2.941,vh_med
768,INFLATEDNESS,0.947,0.158,2.526,1.842,0.316,2.737,vh_med
769,POLYVINYL,0.333,0.0,2.0,0.0,0.867,2.6,vh_med
770,TAPS,3.167,0.167,2.944,1.111,0.111,2.833,vh_med
771,TUFT,0.188,0.188,2.312,0.312,0.125,2.188,vh_med
772,UNGENTLE,1.833,0.0,2.5,1.333,0.0,2.722,vh_med
773,SHEATHE,0.824,0.0,2.235,0.235,0.118,2.765,vh_med
774,SWIPE,1.158,0.105,2.474,0.421,0.053,2.737,vh_med
775,BAGGED,1.105,0.0,2.474,0.053,0.105,2.947,vh_med
776,HARDBOUND,0.467,0.0,2.067,0.133,0.267,2.867,vh_med
777,STEELINESS,1.462,0.077,2.0,1.385,0.231,2.923,vh_med
778,MODIFIABLE,1.429,0.714,2.071,1.214,0.5,2.571,vh_med
779,CHEWABLE,1.211,3.737,2.105,1.737,0.474,2.474,vh_med
780,CUM,0.846,1.538,2.462,2.692,1.538,2.385,vh_med
781,DAMAGEABLE,1.3,0.3,2.0,0.65,0.35,3.0,vh_med
782,GOT,1.5,0.5,2.25,1.812,0.5,2.75,vh_med
783,HEADPHONES,4.706,0.0,3.0,1.176,0.059,2.471,vh_med
784,OPENHANDED,0.471,0.059,2.471,0.882,0.059,2.647,vh_med
785,RECTALLY,0.118,0.0,2.294,2.176,0.059,2.235,vh_med
786,SELF,2.421,1.421,2.895,3.842,1.895,2.842,vh_med
787,STARCH,0.647,2.059,2.176,0.824,1.353,3.0,vh_med
788,HANKY,0.143,0.0,2.5,0.0,0.0,2.786,vh_med
789,BACKHAND,1.5,0.045,2.318,1.409,0.045,2.727,vh_med
790,UNDERCURRENT,1.211,0.0,2.579,1.684,0.053,2.632,vh_med
791,TAG,0.333,0.048,2.048,0.238,0.0,3.0,vh_med
792,TOUGHNESS,1.674,0.86,2.814,2.465,0.302,2.744,vh_med
793,GRUBBY,0.6,0.2,2.333,0.933,1.133,3.0,vh_med
794,UNGLUE,0.5,0.0,2.625,0.625,0.188,2.438,vh_med
795,DRANK,1.5,3.643,2.071,3.357,1.0,3.0,vh_med
796,COUNTERWEIGHT,0.211,0.053,2.105,0.421,0.053,2.895,vh_med
797,QUAKE,2.611,0.0,2.167,2.0,0.056,2.611,vh_med
798,CRANIAL,0.765,0.353,2.0,1.412,0.235,2.529,vh_med
799,WATERISH,1.067,1.4,2.0,0.733,0.333,2.467,vh_med
